disease	disease_diversity	disease_diversity_shannon	disease_betweenness	gene_diversity	gene_diversity_shannon	gene_betweenness
Isolated Noncompaction of the Ventricular Myocardium	34.53654176041327	3.721176253867361	0.0012559260962070498	167.50430571079795	4.766400221852423	0.001852152791615138
Chorea	27.084876899146536	3.401197381662154	1.6179852758083245e-05	66.20824745897154	4.055407653789445	9.55846488710023e-05
Dementia	96.66525085850895	4.8399091670343015	0.0008242236831483888	278.9897447024843	5.184335209204865	0.0051199939981702485
Obesity	135.0243224322046	5.278543805706137	0.00034297482041148117	153.6663238488673	4.827042500532366	0.0009929389987142047
Hypertriglyceridemia	144.5718406986795	5.391387231509926	0.00032503820368605873	4.951406857546837	1.6094379124341005	7.712459165014165e-06
Osteopoikilosis	11.756078614881837	2.3693821196946767	1.7055114897048545e-08	76.88878515808447	4.234627390361287	0.00036788784173326535
Encephalocele	19.892609808846743	3.0445224377234217	1.6037830776129473e-06	56.79629523280951	4.01533645269671	7.521986817453977e-05
Megacolon	14.4638457270663	2.70805020110221	9.096101851671544e-08	40.30917427627934	3.6322425007056673	2.502504287910931e-05
Microcephaly	138.26759322635314	5.4366990185395725	0.0014255605506190176	306.7702167415422	5.297675915414427	0.005897841698970984
Cataract	137.09493462293017	5.305998064637894	0.0020302115748238626	178.7466983920928	4.87761822362536	0.0023387237852264976
Polyhydramnios	13.706321611991513	2.6390573296152584	1.8672359186432044e-07	12.551529178329716	2.5649493574615376	7.840283433841645e-06
Melorheostosis	6.917846676396385	1.945910149055313	1.5229626974267217e-08	91.65774859273314	4.448288237847415	0.0005861518270488349
Colitis	87.24853363912248	4.616974993490397	9.575458989418823e-06	79.49429962988074	4.3051432596637875	0.00028794966231220987
Glomerulonephritis	98.33514211250834	4.848973978501187	0.00013096131125550577	2.9874915953575014	1.0986122886681096	3.805645238595472e-08
Osteoporosis	170.5439192504409	5.7640225185607274	0.00565897248884869	26.05396540618091	3.1224245983330623	8.153442784938944e-05
Hypotrichosis	16.249788064258787	2.833213344056216	7.920037686170657e-07	12.445978047309692	2.4583113296830845	1.6882248000517496e-06
Scoliosis	178.466602243148	5.657527657246327	0.0018463341737543256	175.64269039766265	4.913819656959511	0.0019878861513804888
Dysarthria	7.85509785209099	2.0794415416798357	1.2657321956693345e-07	76.78325332870175	4.203357798204566	0.00022596696913466344
Hirsutism	11.577581276958925	2.4849066497880012	1.446008255515519e-07	114.42784339059443	4.62804180635903	0.0006646900563289069
Photophobia	1.9914285714285715	0.6931471805599453	0.0	11.875076611862054	2.5649493574615376	0.0002413301685616527
Albinism	49.781361384429104	3.982127833212111	9.454823398271598e-06	26.307622797664934	3.1931483948102635	2.4578934905657272e-05
Cystinosis	2.0	0.6931471805599453	2.8183510462650917e-08	3.0	1.0986122886681096	1.088612244233925e-06
Hypertrichosis	1.0	0.0	0.0	175.64269039766265	4.913819656959511	0.0019878861513804888
Apnea	3.967289738907039	1.3862943611198906	1.5868993212803934e-07	66.38633893981873	4.105210872140062	0.00046723947663872923
Fucosidosis	1.0	0.0	0.0	10.962002911276596	2.2718685126965625	6.173153903662677e-05
Strabismus	2.8058721502309836	1.0986122886681096	0.0	138.9054952346613	4.9762918943261525	0.0006562459278796353
Cystinuria	1.0	0.0	0.0	45.3350332587006	3.6779572268021483	0.0001114097259882727
